itemID	Tongan Word	Dictionary Page	Number of Letters	Number of Phonemes	Number of Moras	Part of Speech	Meaning in English
104	fakafaifekau	74	12	12	7	adjective/adverb	like or pertaining to a minister, ministerial, pastoral
105	fakafaito'o	74	11	11	6	adjective/adverb	medical(ly), medicinal(ly)
106	fakafalala	74	10	10	5	verb	to lean, place in a leaning position
107	fakafalemahaki	74	14	14	7	adjective/adverb	like or pertaining to a hospital; appropriate to a hospital
108	fakafaletolo	74	12	12	6	noun	veranda
109	fakafāmili	74	10	11	6	adjective/adverb	family as in family name, surname; as or like a family
110	fakafanau	74	9	9	5	adjective/adverb	pertaining to or characteristic of children
111	fakafa'ahi	75	10	10	5	adjective/adverb	like or pertaining to a side or team; as sides or teams; (music) in harmony
112	fakafa'ahinga	75	13	12	6	verb	to classify
113	fakafa'ahita'u	75	14	14	7	adjective/adverb	pertaining to the season or seasons; according to the season(s); seasonal(ly)
114	fakafa'ahitaha	75	14	14	7	adjective/verb	one-sided(ly); always on the same side
115	fakafa'ē	75	8	9	5	adjective/adverb	like or pertaining to a mother; as a mother; motherly
116	fakafā'ele	75	10	11	6	verb	to cause to give birth; to cause to be born
117	fakafanau	75	9	9	5	noun	ones wife's child begotten by a former husband but born after one’s marriage to the woman and regarded as one’s own
118	fakafanongo	75	11	10	5	verb	to listen deliberately, to give heed
119	fakafāsi'i	75	10	11	6	verb	to make narrow or narrower
120	fakafatongia	75	12	11	6	adjective/adverb	obligatory, imposed as a duty; as a matter of duty
121	fakafe'auhi	75	11	11	6	adjective/adverb	competitive(ly)
122	fakafe'unga	75	11	10	5	verb	to cause to fit or go along with
123	fakafe'ao	75	9	9	5	noun	person accompanying and assisting a chief, escort, aide- de-camp
124	fakafefine	75	10	10	5	adjective/adverb	like or pertaining to a woman or to women; womanly
125	fakafehālaaki	75	13	14	8	verb	causing to be out of step; to cause to be out of step; to put out of step
126	fakafe'iloaki	75	13	13	7	verb	to introduce (two persons or one person to another); to introduce oneself or pay one’s respects
127	fakafepaki	75	10	10	5	verb	to oppose or resist
128	fakafeta'i	75	10	10	5	verb	to be thankful, to express thanks
129	fakafetu'utaki	75	14	14	7	verb	to join or connect
130	fakafiefia	75	10	10	6	adjective	producing happiness or joy
131	fakafiemālie	75	12	13	8	verb	causing to be easy in mind; giving comfort or satisfaction
132	fakafiemālie'i	75	14	15	9	verb	to set a person's mind at rest; to console or soothe; comfort; please; satisfy
133	fakafihi	75	8	8	4	verb	to make tangled, to entangle; to make intricate, to complicate, to obstruct
134	fakafisi	75	8	8	4	verb	to resign from; to dissent from, refuse to ratify, veto; decline or refuse to do something
135	fakafiu	75	7	7	4	verb	wearisome, tedious, tiresome, monotonous; troublesome, making a nuisance of oneself
136	fakafoki	75	8	8	4	verb	to cause to return, to return; to take or give back; to restore, reinstate; to reverse, rescind, revoke, withdraw 
137	fakafo'i	76	8	8	4	adjective	causing timidity or cowardice
138	fakafo'ituitui	76	14	14	8	adverb	individually, one at a time
139	fakafo'ohake	76	12	12	6	verb	to turn face upwards
140	fakafo'ohifo	76	12	12	6	verb	to turn face downwards
141	fakafo'ou	76	9	9	5	verb	to renew; to refresh, restore, renovate
142	fakafokifā	76	10	11	6	adverb	suddenly, instantaneously
143	fakafolau	76	9	9	5	adjective	pertaining to, or characteristic of voyaging
144	fakafonu	76	8	8	4	verb	to fill; to fill in (a form)
145	fakafonua	76	9	9	5	noun	matters pertaining to the land; civil or national matters
146	fakafua	76	7	7	4	verb	to cause to bear fruit, to make fruitful
147	fakafuakava'i	76	13	13	7	verb	to administer an oath to, to put on oath, swear in
148	fakafufū	76	8	9	5	adjective	secret; done secretly
149	fakafungavaka	76	13	12	6	adjective/verb	having one or more decks (or stories)
150	fakafuofua	76	10	10	6	adjective	estimated, regulated, controlled
151	fakafuoloa	76	10	10	6	verb	to make long or lengthen (in time), to prolong
152	fakafuopotopoto	76	15	15	8	verb	to make round or in circular form
153	fakahā	76	6	7	4	verb	to cause to appear, to show, disclose, reveal; to tell, make known; to announce
154	faka-Ha'amoa	76	11	11	6	adjective/adverb	Samoan; in a Samoan way
155	fakahāhā	76	8	10	6	verb	to show, to demonstrate, to express; to announce, publicize or advertise; to explain briefly, give a brief outline
156	fakahake	76	8	8	4	verb	to remove from water; to beach, bring or take ashore; to introduce (a custom) to a country
157	fakahala	76	8	8	4	verb	to cause to err, to mislead, delude, cause to go wrong or make a mistake
158	fakahalaia	76	10	10	6	verb	to hold guilty or declare to be guilty; to condemn or denounce; incriminate, show to be guilty
159	fakahanga	76	9	8	4	verb	to turn so as to face in a specified direction
160	fakahangatonu	76	13	12	6	verb	to make straight, to straighten; to turn so as to face directly to something
161	fakahaohaoa	76	11	11	7	verb	to perfect, to cause to be perfect or just as it should be
162	fakahauhau	76	10	10	6	verb	to dampen or moisten
163	fakahē	76	6	7	4	adjective	causing to wander; misleading
164	fakaheheke	76	10	10	5	verb	to slide along; to skate or ski
165	fakaheka	77	8	8	4	verb	to take or put on board; to load (cargo)
166	fakahekea	77	9	9	5	adjective/verb	causing to slip
167	fakahekeheke	77	12	12	6	verb	to make smooth and slippery
168	fakahela	77	8	8	4	verb	to make oneself tired, to tire oneself
169	fakahifo	77	8	8	4	verb	to put down, put off, unload (cargo); to depose, dismiss, expel from office or membership
170	fakahihifi	77	10	10	5	adverb	on the slope, diagonally
171	fakahīkihiki	77	12	13	7	verb	to exalt, extol, praise, honor; to utter praise
172	fakahingoa	77	10	9	5	verb	to name
173	fakahinisi	77	10	10	5	adjective	hinge-like, having hinges, hinged
174	fakahinohino	77	12	12	6	noun	advice
175	fakahisitōlia	77	13	14	8	adjective/adverb	historic, historical (ly)
176	fakaho'atā	77	10	11	6	adjective/adverb	like or pertaining to noon; at noon, in the middle of the day
177	fakahoa	77	7	7	4	verb	to mate, pair, or couple; to couple together
178	fakahoha'a	77	10	10	5	verb	to cause trouble, worry, bother, or great discomfort
179	fakahoha'asi	77	12	12	6	verb	to worry, trouble, bother
180	fakahoko	77	8	8	4	verb	to join, unite, make into one; to perform, fulfil, carry out; to pass, approve, agree to; to transmit, deliver, pass on
181	fakahokohoko	77	12	12	6	verb	to arrange in order or succession one after another; to continue, or to be carried on, generation after generation
182	fakaholomui	77	11	11	6	verb	to go backwards; to retreat, fall back
183	fakahopo	77	8	8	4	verb	to cause or allow to jump or leap; to bring forward a person before a meeting or law court; to excise, cut and lift out
184	fakahū	77	6	7	4	verb	to cause or allow to enter, to admit; to insert; to import or export; to pay in or deposit
185	fakahū ki tu'a	77	12	13	7	verb	to put out, put outside; to issue (money, stamps)
186	fakahū mai	77	9	10	6	verb	to bring in or out (this way)
187	fakahuhu	77	8	8	4	verb	to suckle, breast-feed
188	fakahu'u	77	8	8	4	verb	to place so as to have his(or her or its) head in a specified direction
189	fakaifo	77	7	7	4	verb	to make tasty, to flavor, to season
190	fakaikiiki	77	10	10	6	verb	to cut into small pieces; to examine or explain in detail
191	fakaiku	77	7	7	4	verb	to affix a tail or an end; fix a paper tail to a kite; to conclude, end up, finish up 
192	fakailifia	78	10	10	6	adjective/verb	frightening, terrifying
193	fakainu	78	7	7	4	verb	to cause to drink, to give (person or animal) something to drink
194	fakaivi'i	78	9	9	5	verb	to give power or ability to; to enable
195	fakaivilahi	78	11	11	6	adjective/verb	imparting great power or ability
196	fakaivimālohi	78	13	14	8	adjective/verb	producing or imparting strength, power, or ability; strengthening
197	fakaivisi'i	78	11	11	6	adjective/verb	making or tending to make incompetent or not up to the task
198	fakaivivaivai	78	13	13	8	adjective/verb	weakening, making or tending to make weak
199	fakakafu	78	8	8	4	verb	to provide with, or cover with, a sheet
200	fakakahoa	78	9	9	5	verb	to put a necklace or garland on
201	fakakai	78	7	7	4	adverb	for a stake, or the loser to provide food
202	fakakaikai	78	10	10	6	verb	to leave a horse or a cow loose in a public place where it may forage for itself under supervision (not tied up)
203	fakakāinga	78	10	10	6	verb	to cheat by copying from another pupil’s book
204	fakakaivao	78	10	10	6	adjective/adverb	like or pertaining to people who are uncivilized
205	fakakakato	78	10	10	5	verb	to complete, to bring to completion
206	fakakakau	78	9	9	5	verb	to cause or allow to swim
207	faka-Kalaisi	78	11	11	6	adjective/adverb	Christlike, in a Christlike way
208	fakakalasi	78	10	10	5	adjective/adverb	in or according to classes
209	faka-Kalisitiane	78	15	15	8	adverb	as befits a Christian, harmonious with Christianity
210	fakakaloni	78	10	10	5	verb	to provide with scent; to scent, sprinkle scent on
211	fakakata	78	8	8	4	verb	to excite laughter; to act or speak in a joking or humorous manner
212	fakakātoa	78	9	10	6	verb	to unite or combine as one whole
213	fakakau	78	7	7	4	verb	to cause to belong to; to put or insert or include or enter
214	fakakaukau	78	10	10	6	verb	to think, ponder, consider; to intend or have in mind to do something
215	fakakaunga	78	10	9	5	noun	origin of one’s connexion or way in which one is connected or related
216	fakakaungāme'a	78	14	14	8	verb	to be friendly or sociable; to associate or be friendly with
217	fakakautaha	78	11	11	6	verb	to act together as an association
218	fakakautau	78	10	10	6	adjective/adverb	as or pertaining to armies or soldiers; soldierly, martial, militarily
219	fakakauvaka	79	11	11	6	verb	to supply with a crew, to man (a boat)
220	fakakava	79	8	8	4	verb	to provide kava for
221	fakakavenga	79	11	10	5	verb	to burden or be a burden to
222	fakakehe	79	8	8	4	verb	to make different, to alter or change
223	fakakehekehe'i	79	14	14	7	verb	to treat differently from each other
224	fakakelesi	79	10	10	5	verb	to endow with grace
225	fakakiki	79	8	8	4	verb	to provide the meat or fish for a meal
226	fakakikihi	79	10	10	5	verb	to argue, to reason, to take part in a dispute or debate or argument
227	fakakikila	79	10	10	5	verb	to open eyes very widely; to deliberately stare
228	fakakita	79	8	8	4	verb	to cause to have a relapse
229	fakakitekita	79	12	12	6	verb	to have a slight relapse; to be in constant fear of a relapse
230	fakakole	79	8	8	4	verb	to make a request
231	fakakolisi	79	10	10	5	adjective/adverb	like or pertaining to a college, collegiate
232	fakakolo	79	8	8	4	adjective/adverb	like or pertaining to a village, as a village, or by villages
233	fakakoloa	79	9	9	5	adjective	pertaining to goods or material wealth, or to business
234	fakakoloa'ia	79	12	12	7	adjective/verb	making rich, enriching
235	fakakoloa'ia'i	79	14	14	8	verb	to make wealthy or rich, to enrich
236	fakakolomu'a	79	12	12	6	adjective/adverb	like or pertaining to a capital city, metropolitan
237	fakakolonia	79	11	11	6	adjective/adverb	pertaining to colonies, colonial
238	fakakōmiti	79	10	11	6	adjective/adverb	pertaining to a committee; as a committee, as a member of a committee
239	fakakomiunisi	79	13	13	7	adjective/adverb	pertaining to communism, communistic
240	fakakona	79	8	8	4	adjective/verb	poisonous, liable to poison
241	fakakonā	79	8	9	5	adjective/verb	intoxicating, tending to intoxicate
242	fakakonahi	79	10	10	5	verb	to make poison or intoxicating; to poison or intoxicate
243	fakakona'i	79	10	10	5	verb	to make too salt, to over-salt
244	fakakonga	79	9	8	4	adverb	in part, partly
245	fakakongokonga	79	14	12	6	adverb	bit by bit, in parts or portions, by installments
246	fakakonifelenisi	79	16	16	8	adjective/verb	like or pertaining to the conference
247	fakakonisela	79	12	12	6	adjective/verb	pertaining to a consul, consular
248	fakakonisēnisi	79	14	15	8	adjective/adverb	pertaining to the conscience
249	fakakōvana	79	10	11	6	adjective/adverb	pertaining to a governor
250	fakakovi	79	8	8	4	verb	to backbite, to say nasty or malicious things about other people
251	fakakū	79	6	7	4	interrogative/adverb	at what time, how soon, how long ago
252	fakakui	79	7	7	4	adjective/adverb	like or pertaining to a grandparent etc. fakakui:(v)to wink
253	fakakuonga	79	10	9	5	adjective/adverb	like or pertaining to a period or periods; changing from period to period
254	fakalafalafa	79	12	12	6	adverb	on the flat, side on; to hit side on
255	fakalahi	80	8	8	4	verb	to make bigger or more numerous; to increase the size or quantity; to augment, extend, enlarge, exaggerate
256	fakalaka	80	8	8	4	verb	to pass over or across; to cause to move on or along or forward; to promote or advance; to cause to progress or develop or improve; to overtake and pass
257	fakalakakimu'a	80	14	14	7	verb	to cause to advance or go ahead, to further the progress of
258	fakalakanga	80	11	10	5	adverb	in turns, one after another
259	fakalalave	80	10	10	5	verb	to try to find out in an indirect way, to “put out feelers”
260	fakalāngilangi	80	14	13	7	noun	honour, privilege
261	fakalāngilangi'i	80	16	15	8	verb	to give splendour to, to grace, to honour, to glorify
262	fakalanu	80	8	8	4	verb	to color, to tint, to dye
263	fakalao	80	7	7	4	adjective/adverb	legal(ly), legitimate(ly), by law
264	fakalata	80	8	8	4	adjective/verb	causing to feel at home or to be happy and contented; pleasant, congenial
265	fakalaulauloto	80	14	14	8	verb	to turn over in one’s mind, to meditate upon, to use the imagination
266	fakalaumālie	80	12	13	8	noun	spiritual meaning or aspect
267	fakalava	80	8	8	4	verb	to bring to completion or fruition, to achieve or accomplish or complete
268	fakalave	80	8	8	4	verb	to cause to touch, to cause to refer to, to cause to affect
269	fakalavea'i	80	11	11	6	verb	to wound, injure
270	fakale'olahi	80	12	12	6	verb	to make loud or louder
271	fakale'osi'i	80	12	12	6	adverb	softly (not loudly)
272	fakalea	80	7	7	4	verb	to cause to speak or to utter a sound; to sound; to toot, blow the horn of; to supply words or wording for to speak when one is not expected to; address or speak to
273	fakalele	80	8	8	4	verb	to cause or allow to run; to propel; to run along with; to run or conduct (business); to have diarrhea
274	fakalelei	80	9	9	5	adverb	in a proper or friendly manner; properly, becomingly
275	fakalilifu	80	10	10	5	adjective/verb	terrifying, horrifying, gruesome, outrageous
276	fakalilo	80	8	8	4	verb	to conceal, to keep secret or private
277	fakaloki	80	8	8	4	verb	to provide (a boat or building) with a room or a cabin
278	fakaloloa	80	9	9	5	verb	to stretch oneself out at full length, to sit with the legs stretched out
279	fakalōloa	80	9	10	6	verb	to make long, to lengthen
280	falaloloa	80	9	9	5	adverb	(to lie) stretched out
281	fakalo'oa	81	9	9	5	adjective/verb	causing or liable to cause choking
282	fakalongolongo	81	14	12	6	verb	to be silent or guilt, to keep silence
283	fakalongomo'ui	81	14	13	7	adjective/verb	invigorating, making energetic or lively
284	fakalotofonua	81	13	13	7	adjective	belonging or pertaining to the country itself, internal, domestic
285	fakalotokovi	81	12	12	6	adjective/verb	making disagreeable, ill-disposed or malicious
286	fakalotolavea	81	13	13	7	adjective/verb	heart-breaking, arousing sorrow or remorse
287	fakalotomāfana	81	14	15	8	adjective/verb	enthusiastic, fervent, passionate, impassioned or arousing enthusiasm
288	fakalotomāfana'i	81	16	17	9	verb	to make enthusiastic or fervent, to enthuse
289	fakalotomamahi	81	14	14	7	adverb	sorrowfully
290	fakalotomamahi'i	81	16	16	8	verb	to make sorrowful, to grieve, sadden, offend or annoy
291	fakalotomomoko	81	14	14	7	adjective/verb	producing cold-heartedness, tending to dampen enthusiasm
292	fakalotomomoko'i	81	16	16	8	verb	to make cold- hearted
293	fakalotopule'anga	81	17	16	8	adjective	pertaining to the country itself, domestic; inner workings of the government
294	fakalotosiasi	81	13	13	7	adjective	pertaining to the inner affairs of the church
295	fakalotosi'i	81	12	12	6	adjective/verb	making (or tending to make) nervous or timid, discouraging
296	fakalotosino	81	12	12	6	adjective	inward, within ones mind or self
297	fakalototo'a	81	12	12	6	adjective/verb	making courageous or valiant
298	fakalotu	81	8	8	4	noun	religious matters
299	fakalotu'i	81	10	10	5	verb	to convert to religion (esp. to Christianize)
300	fakalua	81	7	7	4	verb	to cause to vomit
301	fakalūkufua	81	11	12	7	adverb	in a general or all-embracing manner, generalizing
302	fakamā	81	6	7	4	adjective/verb	causing shame, shameful, disgraceful, ignominious
303	fakamaa'i	81	9	9	5	verb	to put to shame, to make ashamed
304	fakamaama	81	9	9	5	verb	to illuminate or enlighten
305	fakamaau	81	8	8	5	noun	judgement; judge, magistrate; umpire, referee
306	fakamaau'anga	81	13	12	7	noun	court of justice; judgement seat
307	fakamafai	81	9	9	5	verb	to authorize, to empower, to endow with the right or authority to do something
308	fakamafana	81	10	10	5	verb	to make warm, warm up, heat up
309	fakamāfana	81	10	11	6	verb	to make warm or to make fervent or enthusiastic, to warm oneself
310	fakamafola	81	10	10	5	verb	to spread or disseminate; to propagate; to broadcast 
311	fakamaha	82	8	8	4	verb	to empty, to cause or allow to become empty
312	fakamahafu	82	10	10	5	verb	to provide or supply with weapons or cartridges, to arm
313	fakamaheni	82	10	10	5	adjective/adverb	familiar(ly)
314	fakamaheni	82	10	10	5	noun	familiarity (shown by one to another)
315	fakamāhina	82	10	11	6	adjective/adverb	monthly, every month
316	fakamahino	82	10	10	5	verb	to explain, elucidate, make clear
317	fakamahu'i	82	10	10	5	verb	to keep away from someone, to shun or avoid company
318	fakamahu'inga	82	13	12	6	verb	to regard as important or valuable, to value
319	fakamahu'inga'i	82	15	14	7	verb	to evaluate, appraise, estimate the price or value or importance of; to realize the value of, to appreciate
320	fakamākona	82	10	11	6	adjective	(of food) satisfying
321	fakamala'ia	82	11	11	6	adjective/verb	causing misfortune or disaster
322	fakamala'ia'i	82	13	13	7	verb	to curse, to pronounce or bring a curse upon; to cause to meet with misfortune or disaster
323	fakamalanga	82	11	10	5	adjective/adverb	pertaining to preachers or to preaching
324	fakamali	82	8	8	4	adjective	pertaining to marriage or to married couples, matrimonial
325	fakamālō	82	8	10	6	verb	to give thanks, to be grateful, to feel or express gratitude; to praise or congratulate
326	fakamālohi	82	10	11	6	adverb	forcibly, with force or violence
327	fakamālohi'i	82	12	13	7	verb	to compel, to force, to oppress or treat with violence, to bring pressure to bear upon; to strengthen
328	fakamālohi-sino	82	14	15	8	verb	to do physical exercise, to have drill
329	fakamālōlō	82	10	13	8	verb	to dismiss, to retire, to dispense with the services of; to rest, give a rest to
330	fakamāloo'i	82	11	12	7	verb	to express thanks for or appreciation of
331	fakamalu	82	8	8	4	noun	umbrella or parasol
332	fakamālualoi	82	12	13	8	verb	to act the hypocrite, to be have in a hypocritical way
333	fakamalumalu	82	12	12	6	verb	to cast a shadow, to give shade or protection; to get shade or take shelter
334	fakamamafa	82	10	10	5	verb	to make heavy; to stress or emphasize; to take seriously, to regard as a matter of importance
335	fakamamahi	82	10	10	5	verb	to cause pain or SOTTOW
336	fakamamahi'i	82	12	12	6	verb	to give pain to, to hurt, to be cruel to, to torment
337	fakamāmani	82	10	11	6	adjective/adverb	worldly, secular, mundane
338	fakamama'o	82	10	10	5	verb	to place far away, to put at a distance; to place oneself at a distance, to depart or keep away or abstain from
339	fakamamata	82	10	10	5	verb	to show a person round, to take him to see something
340	fakamama'u	83	10	10	5	verb	to look steadily, gaze, stare
341	fakamana	83	8	8	4	verb	to make threats, to speak intimidatingly
342	fakamanatu	83	10	10	5	verb	to refresh one’s memory; to commemorate, to recall; to remind
343	fakamanava	83	10	10	5	noun	vent, safety-valve; spillway; outlet
344	fakamanava'ofa	83	14	14	7	adjective/verb	arousing sympathy or kindly feeling
345	fakamanavahē	83	12	13	7	adjective/verb	frightening, terrifying, causing fear, terrible
346	fakamanavahee'i	83	15	15	8	verb	to frighten, scare, terrify
347	fakamānavaloloa	83	15	16	9	verb	to hold one’s breath
348	fakamanavasi'i	83	14	14	7	adjective/verb	arousing or producing nervousness or apprehension
349	fakamanga	83	9	8	4	verb	to have one’s mouth open, to open one’s mouth
350	fakamanga'i	83	11	10	5	verb	to open forcibly; to open widely (a bag); to leave open or uncorked
351	fakamangamanga	83	14	12	6	adverb/verb	to sit or stand with the legs apart
352	fakamanifi	83	10	10	5	adverb	thinly
353	fakamao	83	7	7	4	verb	to open up and let the steam escape; or to turn into steam
354	fakamāsila	83	10	11	6	verb	to sharpen, to make sharp
355	fakamāsima	83	10	11	6	verb	to salt, to provide with salt
356	fakamata	83	8	8	4	verb	to sharpen to a point; sharpen the edge of
357	fakamata'ifika	83	14	14	7	verb	to mark with figures or numbers
358	fakamata'itohi	83	14	14	7	adjective/adverb	like or pertaining to letters of the alphabet; alphabetically
359	fakamatala	83	10	10	5	verb	to explain; to describe; to report on
360	fakamatalelei	83	13	13	7	verb	to look pleasant or friendly, to show a friendly face
361	fakamatamatakovi	83	16	16	8	verb	to act in a way that looks bad
362	fakamatamatalelei	83	17	17	9	verb	to make (something or someone) beautiful, to beautify; to put on a pleasant or friendly look which is not genuine
363	fakamatapā	83	10	11	6	verb	to provide with doors or gates or windows
364	fakamatāpule	83	12	13	7	adjective/adverb	gentlemanly, in a gentlemanly manner
365	fakamatelie	83	11	11	6	adjective/adverb	material (ly); physical(ly)
366	fakamātoato	83	11	12	7	verb	to be serious, earnest or in earnest
367	fakamātoato'i	83	13	14	8	verb	to take or treat seriously; to be serious or earnest about, or to take pains with
368	fakamatolu	83	10	10	5	verb	to make thick, to thicken
369	fakamātu'a	83	10	11	6	adjective/adverb	pertaining to parents or to elderly people 
